instanceid,text,category,label
31887537,Outcomes based on age in the phase III METEOR trial of cabozantinib versus everolimus in patients with advanced renal cell carcinoma.,2020,0
31886693,Values clarification and parental decision making about newborn genomic sequencing.,2020,0
31883418,Avelumab plus axitinib vs sunitinib for advanced renal cell carcinoma: Japanese subgroup analysis from JAVELIN Renal 101.,2020,0
31882508,Reducing Radiation Dermatitis Using a Film-forming Silicone Gel During Breast Radiotherapy: A Pilot Randomized-controlled Trial.,None,0
31881877,The influence of a community intervention on influenza vaccination knowledge and behavior among diabetic patients.,2019,0
31881599,"Results of XPAND II: A Multicenter, Prospective, Continued-Access Clinical Trial Using the AeroForm Tissue Expander for Two-Stage Breast Reconstruction.",2020,0
31880966,Randomized Phase III Study of Continuation Maintenance Bevacizumab With or Without Pemetrexed in Advanced Nonsquamous Non-Small-Cell Lung Cancer: COMPASS (WJOG5610L).,2020,0
31880964,Phase III Study of Adjuvant Ipilimumab (3 or 10 mg/kg) Versus High-Dose Interferon Alfa-2b for Resected High-Risk Melanoma: North American Intergroup E1609.,2020,0
31823654,ENERGIZE: a Phase III study of neoadjuvant chemotherapy alone or with nivolumab with/without linrodostat mesylate for muscle-invasive bladder cancer.,2020,0
31823152,"A randomized, double-blind, comparison of radium-223 and placebo, in combination with abiraterone acetate and prednisolone, in castration-resistant metastatic prostate cancer: subgroup analysis of Japanese patients in the ERA 223 study.",2020,0
31822399,Phase 2 study of the Exportin 1 inhibitor selinexor in patients with recurrent gynecological malignancies.,2020,0
31821591,"Phase 2 study of efgartigimod, a novel FcRn antagonist, in adult patients with primary immune thrombocytopenia.",2020,0
31821109,NSABP B-47/NRG Oncology Phase III Randomized Trial Comparing Adjuvant Chemotherapy With or Without Trastuzumab in High-Risk Invasive Breast Cancer Negative for HER2 by FISH and With IHC 1+ or 2.,2020,0
31821071,,2020,0
31819304,Usage of Probiotics and its Clinical Significance at Surgically Treated Patients Sufferig from Colorectal Carcinoma.,2019,0
31233395,Cost-effectiveness of laparoscopic ileocaecal resection versus infliximab treatment of terminal ileitis in Crohn's disease: the LIR!C Trial.,2019,0
31233220,Multicentre randomized clinical trial of colonic J pouch or straight stapled colorectal reconstruction after low anterior resection for rectal cancer.,2019,0
31232840,A Comparison of Three Dressing Methods for Pilonidal Sinus Surgery Wound Healing.,2019,0
31232076,Prehabilitation in patients undergoing pancreaticoduodenectomy: a randomized controlled trial.,2019,0
31231970,Inter-Relations between Partner-Provided Support and Self-Efficacy: A Dyadic Longitudinal Analysis.,2019,0
31231865,Access and concentrations of atorvastatin in the prostate in men with prostate cancer.,2019,1
31231828,Bortezomib consolidation following autologous transplant in younger and older patients with newly diagnosed multiple myeloma in two phase III trials.,2019,1
31230661,Post-colposcopy Management of ASC-US and LSIL Pap Tests (PALS Trial): Pilot RCT.,2019,1
31229857,Anthracycline could be essential for triple-negative breast cancer: A randomised phase II study by the Kanagawa Breast Oncology Group (KBOG) 1101.,2019,1
31229621,Health coaching to encourage obese adults to enroll in commercially-available weight management programs: The path to health study.,2019,1
31229401,A 1-year randomized trial of deferasirox alone versus deferasirox and deferoxamine combination for the treatment of iron overload in thalassemia major.,2019,1
31229240,Pexidartinib versus placebo for advanced tenosynovial giant cell tumour (ENLIVEN): a randomised phase 3 trial.,2019,1
31229207,Care After Lymphoma (CALy) trial: A phase II pilot pragmatic randomised controlled trial of a nurse-led model of survivorship care.,2019,1
31229205,Prevention of chemotherapy-induced peripheral neuropathy with classical massage in breast cancer patients receiving paclitaxel: An assessor-blinded randomized controlled trial.,2019,1
31229204,The effectiveness of lymphedema self-management in the prevention of breast cancer-related lymphedema and quality of life: A randomized controlled trial.,2019,1
31229200,"Effects of a mouth-opening intervention with remote support on adherence, the maximum interincisal opening, and mandibular function of postoperative oral cancer patients: A randomized clinical trial.",2019,1
31228136,"Quality of Life After Total Mesorectal Excision and Rectal Replacement: Comparing Side-to-End, Colon J-Pouch and Straight Colorectal Reconstruction in a Randomized, Phase III Trial (SAKK 40/04).",2019,1
31228015,Cost-Effectiveness of a Psycho-Educational Intervention Targeting Fear of Cancer Recurrence in People Treated for Early-Stage Melanoma.,2019,1
31227872,Variants in ARID5B gene are associated with the development of acute lymphoblastic leukemia in Mexican children.,2019,1
31227432,Randomized Phase II Trial of Abiraterone Alone or With Dasatinib in Men With Metastatic Castration-resistant Prostate Cancer (mCRPC).,2019,1
31227373,"Ultra-hypofractionated versus conventionally fractionated radiotherapy for prostate cancer: 5-year outcomes of the HYPO-RT-PC randomised, non-inferiority, phase 3 trial.",2019,1
31227287,Metformin decreases bone turnover markers in polycystic ovary syndrome: a post hoc study.,2019,1
31226960,"Robot-assisted esophagectomy (RAE) versus conventional minimally invasive esophagectomy (MIE) for resectable esophageal squamous cell carcinoma: protocol for a multicenter prospective randomized controlled trial (RAMIE trial, robot-assisted minimally invasive Esophagectomy).",2019,1
31226790,Effects of Intermittent Energy Restriction Combined with a Mediterranean Diet on Reducing Visceral Adiposity: A Randomized Active Comparator Pilot Study.,2019,1
31226443,"Prospective, Randomized Control Trial Investigating the Impact of a Physician-Communicated Radiation Therapy Plan Review on Breast Cancer Patient-Reported Satisfaction.",2019,1
31225906,Preoperative PET/CT does not accurately detect extrauterine disease in patients with newly diagnosed high-risk endometrial cancer: A prospective study.,2019,1
31225645,An intervention based on protective factors to improve resilience for breast cancer patients: Study protocol for a randomized controlled trial.,2019,2
31222797,Mode of progression after first line treatment correlates with outcome of chronic lymphocytic leukemia (CLL).,2019,2
31222794,Impact of electrical pulse cut mode during endoscopic papillectomy: Pilot randomized clinical trial.,2020,2
31222771,"Effect of hyperinsulinaemia and insulin resistance on endocrine, metabolic and fertility outcomes in women with polycystic ovary syndrome undergoing ovulation induction.",2019,2
31222392,Pilot randomized trial of an electronic symptom monitoring and reporting intervention for hospitalized adults undergoing hematopoietic stem cell transplantation.,2020,2
31221935,"The Effects of Acupressure on Quality of Life and Dyspnea in Lung Cancer: A Randomized, Controlled Trial.",2020,2
31221620,"MRI versus mammography for breast cancer screening in women with familial risk (FaMRIsc): a multicentre, randomised, controlled trial.",2019,2
31221619,"Epacadostat plus pembrolizumab versus placebo plus pembrolizumab in patients with unresectable or metastatic melanoma (ECHO-301/KEYNOTE-252): a phase 3, randomised, double-blind study.",2019,2
31221547,Prognostic factors in patients with stage II colon cancer: Role of E-selectin gene polymorphisms.,2019,2
31221117,Physical activity change after a promotora-led intervention in low-income Mexican American women residing in South Texas.,2019,2
31221115,Study protocol of a randomized phase III trial of comparing preoperative chemoradiation with preoperative chemotherapy in patients with locally advanced gastric cancer or esophagogastric junction adenocarcinoma: PREACT.,2019,2
31220283,Interval Walking Improves Glycemic Control and Body Composition After Cancer Treatment: A Randomized Controlled Trial.,2019,2
31220256,"Controlling intestinal colonization of high-risk haematology patients with ESBL-producing Enterobacteriaceae: a randomized, placebo-controlled, multicentre, Phase II trial (CLEAR).",2019,2
31220105,"Short-term clinical and immunologic effects of poly-gamma-glutamic acid (??-PGA) in women with cervical intraepithelial neoplasia 1 (CIN 1): A multicenter, randomized, double blind, phase II trial.",2019,2
31219150,"Association Between Single-Nucleotide Polymorphisms in HLA Alleles and Human Immunodeficiency Virus Type 1 Viral Load in Demographically Diverse, Antiretroviral Therapy-Naive Participants From the Strategic Timing of AntiRetroviral Treatment Trial.",2019,2
31219033,The Postopera tive Quality of Life in Children and Adolescents with Craniopharyngioma.,2019,2
31219027,HPV testing compared with routine cytology in cervical screening: long-term follow-up of ARTISTIC RCT.,2019,2
31219000,In Situ Cellular Response Underlying Successful Treatment of Mucosal Leishmaniasis with a Combination of Pentavalent Antimonial and Pentoxifylline.,2019,2
31218770,Randomized phase II trial of survivin 2B peptide vaccination for patients with HLA-A24-positive pancreatic adenocarcinoma.,2019,2
31218477,Randomized controlled trial of high-dose versus standard-dose vitamin D3 for prevention of aromatase inhibitor-induced arthralgia.,2019,2
31217344,Palbociclib with Letrozole in Postmenopausal Women with ER+/HER2- Advanced Breast Cancer: Hematologic Safety Analysis of the Randomized PALOMA-2 Trial.,2019,2
31217318,Survey of the effect of viewing an online e-cigarette advertisement on attitudes towards cigarette and e-cigarette use in adults located in the UK and USA: a cross-sectional study.,2019,3
31217257,A randomized controlled trial with everolimus for IQ and autism in tuberous sclerosis complex.,2019,3
31216852,Prevalence of Anxiety and Depression and Their Impact on the Quality of Life of Cancer Patients Treated with Palliative Antineoplasic Therapy - Results of the PALINT Trial.,2019,3
31216604,Social support as a moderator in the relationship between intrusive thoughts and anxiety among Spanish-speaking Latinas with breast cancer.,2019,3
31216321,The effect of modulated electro-hyperthermia on local disease control in HIV-positive and -negative cervical cancer women in South Africa: Early results from a phase III randomised controlled trial.,2019,3
31216226,Final Overall Survival of a Randomized Trial of Bevacizumab for Primary Treatment of Ovarian Cancer.,2019,3
31216065,Randomized clinical trial of accelerated enhanced recovery after minimally invasive colorectal cancer surgery (RecoverMI trial).,2019,3
31215320,Comparison of case-based learning and traditional method in teaching postgraduate students of medical oncology.,2019,3
31215242,The NAME trial: a direct comparison of classical oral Navelbine versus Metronomic Navelbine in metastatic breast cancer.,2019,3
31213771,Use of lidocaine to prevent postoperative coughing after partial laryngectomy: comparison of three delivery methods.,2019,3
31210529,Efficacy and Safety of Tofogliflozin on 24-h Glucose Profile Based on Continuous Glucose Monitoring: Crossover Study of Sodium-Glucose Cotransporter 2 Inhibitor.,2019,3
31209957,Periprostatic nerve block alone versus combined with perineal pudendal nerve block or intrarectal local anesthesia during transrectal ultrasound-guided prostate biopsy: A prospective randomized controlled trial.,2019,3
31209699,Clinical and Psychological Outcomes of the Use of Vaginal Dilators After Gynaecological Brachytherapy: a Randomized Clinical Trial.,2019,3
31209667,Influence of Molecular Status on Recurrence Site in Patients Treated for a Stage III Colon Cancer: a Post Hoc Analysis of the PETACC-8 Trial.,2019,3
31209657,Bayesian Population Model of the Pharmacokinetics of Venetoclax in Combination with Rituximab in Patients with Relapsed/Refractory Chronic Lymphocytic Leukemia: Results from the Phase III MURANO Study.,2019,3
31209630,Scrambler therapy for chemotherapy neuropathy: a randomized phase II pilot trial.,2020,3
31209595,Anticoagulants and cancer mortality in the Finnish randomized study of screening for prostate cancer.,2019,3
31208191,"Effects of a cancer prevention education program on elementary school students' knowledge, attitude, self-efficacy, and intentions in South Korea.",2019,3
31207232,Guselkumab Efficacy after Withdrawal Is Associated with Suppression of Serum IL-23-Regulated IL-17 and IL-22 in Psoriasis: VOYAGE 2 Study.,2019,3
31206934,Immunohistological analysis of pancreatic carcinoma after vaccination with survivin 2B peptide: Analysis of an autopsy series.,2019,3
31206639,"Explicit prognostic disclosure to Asian women with breast cancer: A randomized, scripted video-vignette study (J-SUPPORT1601).",2019,3
31206591,"Does intraperitoneal ropivacaine reduce postoperative inflammation? A prospective, double-blind, placebo-controlled pilot study.",2019,3
31205087,Downregulation of R-Spondin1 Contributes to Mechanical Stretch-Induced Lung Injury.,2019,3
31204873,A randomised trial comparing two protocols for transrectal prostate repeat biopsy: six lateral posterior plus six anterior cores versus a standard posterior 12-core biopsy.,2019,3
31204604,Family caregivers' perspectives on communication with cancer care providers.,None,3
31204198,Effect of single-dose intravenous tranexamic acid on postoperative nasal bleed in septoplasty.,2019,3
31203203,"Robot-assisted approach to cervical cancer (RACC): an international multi-center, open-label randomized controlled trial.",2019,3
31201877,To What Extent Do the NRS and CRQ Capture Change in Patients' Experience of Breathlessness in Advanced Disease? Findings From a Mixed-Methods Double-Blind Randomized Feasibility Trial.,2019,3
31201564,Cobb angle measurement with a conventional convex echography probe and a smartphone.,2019,0
31201110,Radiotherapy Quality Assurance for the CHHiP Trial: Conventional Versus Hypofractionated High-Dose Intensity-Modulated Radiotherapy in Prostate Cancer.,2019,0
31200830,Effect on quality of life of cisplatin added to single-agent chemotherapy as first-line treatment for elderly patients with advanced non-small cell lung cancer: Joint analysis of MILES-3 and MILES-4 randomised phase 3 trials.,2019,0
31200828,"Selumetinib in patients receiving standard pemetrexed and platinum-based chemotherapy for advanced or metastatic KRAS wildtype or unknown non-squamous non-small cell lung cancer: A randomized, multicenter, phase II study. Canadian Cancer Trials Group (CCTG) IND.219.",2019,0
31200823,Combination of icotinib and chemotherapy as first-line treatment for advanced lung adenocarcinoma in patients with sensitive EGFR mutations: A randomized controlled study.,2019,0
31200819,"The prognostic value of early onset, CT derived loss of muscle and adipose tissue during chemotherapy in metastatic non-small cell lung cancer.",2019,0
31200814,"First-line afatinib for advanced EGFRm+ NSCLC: Analysis of long-term responders in the LUX-Lung 3, 6, and 7 trials.",2019,0
31200321,Prognostic and predictive value of AJCC-8 staging in the phase III EORTC1325/KEYNOTE-054 trial of pembrolizumab vs placebo in resected high-risk stage III melanoma.,2019,0
31199939,Hypothesis awareness as a demand characteristic in laboratory-based eating behaviour research: An experimental study.,2019,0
31199595,Evaluation of EGFR inhibitor-mediated acneiform skin toxicity within the double-blind randomized EVITA trial: A thorough gender-specific analysis using the WoMo score.,2019,0
31199501,"Analysis of KRAS, NRAS, BRAF, PIK3CA and TP53 mutations in a large prospective series of locally advanced rectal cancer patients.",2020,1
31199090,A Phase 3 Randomized Trial of Voxelotor in Sickle Cell Disease.,2019,1
31198066,Randomized Controlled Trial of a 4-Week Mindfulness Intervention among Cancer Survivors Compared to a Breathing Control.,2019,1
31197894,Daylight photodynamic therapy of actinic keratosis without curettage is as effective as with curettage: a randomized clinical trial.,2019,1
31197822,Postoperative complications in relation to overall treatment time in patients with rectal cancer receiving neoadjuvant radiotherapy.,2019,1
31196847,Long-term safety of single-agent ibrutinib in patients with chronic lymphocytic leukemia in 3 pivotal studies.,2019,1
31196501,A prospective pilot study of an elemental nutritional supplement for prevention of oral mucositis during S-1 adjuvant chemotherapy for gastric cancer.,2019,1
31196032,A phase II randomized placebo-controlled double-blind study of salvage radiation therapy plus placebo versus SRT plus enzalutamide with high-risk PSA-recurrent prostate cancer after radical prostatectomy (SALV-ENZA).,2019,1
31195357,"Nivolumab plus ipilimumab versus chemotherapy as first-line treatment in advanced non-small-cell lung cancer with high tumour mutational burden: patient-reported outcomes results from the randomised, open-label, phase III CheckMate 227 trial.",2019,1
31195354,High prevalence of severe hypovitaminosis D in patients with advanced gastric cancer treated with first-line chemotherapy with or without anti-EGFR-directed monoclonal antibody (EXPAND trial) showing no prognostic impact.,2019,1
31194785,Effects of antioxidant-rich foods on altitude-induced oxidative stress and inflammation in elite endurance athletes: A randomized controlled trial.,2019,1
31194613,Erlotinib Versus Gemcitabine Plus Cisplatin as Neoadjuvant Treatment of Stage IIIA-N2 ,2019,1
31192938,"Uni-center, patient-blinded, randomized, 12-month, parallel group, noninferiority study to compare outcomes of 3-row vs 2-row circular staplers for colorectal anastomosis formation after low anterior resection for rectal cancer.",2019,1
31192908,"Efficacy and safety of sustained-release oxycodone compared with immediate-release morphine for pain titration in cancer patients: A multicenter, open-label, randomized controlled trial (SOCIAL).",2019,1
31192682,"Effects of omega-3 fatty acids supplementation on neoadjuvant chemotherapy-induced toxicity in patients with locally advanced breast cancer: a randomized, controlled, double-blinded clinical trial.",2019,1
31192478,"Two-month breathing-based walking improves anxiety, depression, dyspnoea and quality of life in chronic obstructive pulmonary disease: A randomised controlled study.",2019,1
31192355,Long-course preoperative chemoradiation versus 5 ?? 5 Gy and consolidation chemotherapy for clinical T4 and fixed clinical T3 rectal cancer: long-term results of the randomized Polish II study.,2019,1
31190752,Bioequivalence of paclitaxel protein-bound particles in patients with breast cancer: determining total and unbound paclitaxel in plasma by rapid equilibrium dialysis and liquid chromatography-tandem mass spectrometry.,2019,1
31190621,Effects of ,2019,1
31190442,Quality of life in pediatric acute myeloid leukemia: Report from the Children's Oncology Group.,2019,2
31189966,"Incident Hepatocellular Carcinoma Risk in Patients Treated with a Sulfonylurea: A Nationwide, Nested, Case-Control Study.",2019,2
31189618,TELEPRO: Patient-Reported Carcinoid Syndrome Symptom Improvement Following Initiation of Telotristat Ethyl in the Real World.,2019,2
31189338,Randomized controlled trial of supportive care interventions to manage psychological distress and symptoms in Latinas with breast cancer and their informal caregivers.,2020,2
31189035,Adjuvant Chemotherapy plus Radiation for Locally Advanced Endometrial Cancer.,2019,2
31188734,Cardiovascular Morbidity in a Randomized Trial Comparing GnRH Agonist and GnRH Antagonist among Patients with Advanced Prostate Cancer and Preexisting Cardiovascular Disease.,2019,2
31188728,Prostate Transition Zone Fibrosis is Associated with Clinical Progression in the MTOPS Study.,2019,2
31187674,Effects of Luo Han Guo on throat complications associated with tracheal intubation: a randomized controlled trial.,2019,2
31187126,"Effectiveness and Cost of Organized Outreach for Colorectal Cancer Screening: A Randomized, Controlled Trial.",2020,2
31186020,Comparison of two statistical indicators in communicating epidemiological results to the population: a randomized study in a high environmental risk area of Italy.,2019,2
31185917,The effects of epidural anaesthesia and analgesia on T lymphocytes differentiation markers and cytokines in patients after gastric cancer resection.,2019,2
31184792,Effects of cognitive education on the perceived control and symptom distress of lung cancer patients receiving chemotherapy: A randomised controlled trial.,2019,2
31183514,Pharmacokinetic and exposure-response analysis of pertuzumab in patients with HER2-positive metastatic gastric or gastroesophageal junction cancer.,2019,2
31183444,Protocol for a multicentre randomized clinical trial comparing oncological outcomes of D2 ,2019,2
31182139,"Optimal management of HIV- positive??adults at risk for kidney disease in Nigeria (Renal Risk Reduction ""R3"" Trial): protocol and study design.",2019,2
31182077,Randomized controlled trial on Pringle Maneuver to reduce blood loss during stapler hepatectomy - PriMal StHep.,2019,2
31181357,Effect of Vitamin D Supplementation on Postcraniotomy Pain After Brain Tumor Surgery: A Randomized Clinical Trial.,2019,2
31180819,Prospective Multicenter Study on the Prognostic and Predictive Impact of Tumor Budding in Stage II Colon Cancer: Results From the SACURA Trial.,2019,2
31178155,"6 months versus 12 months of adjuvant trastuzumab in early breast cancer (PHARE): final analysis of a multicentre, open-label, phase 3 randomised trial.",2019,3
31178152,6 versus 12 months of adjuvant trastuzumab for HER2-positive early breast cancer (PERSEPHONE): 4-year disease-free survival results of a randomised phase 3 non-inferiority trial.,2019,3
31177994,A self-help diet and physical activity intervention with dietetic support for weight management in men treated for prostate cancer: pilot study of the Prostate Cancer Weight Management (PRO-MAN) randomised controlled trial.,2019,3
31177391,Improving information to caregivers of cancer patients: the Herlev Hospital Empowerment of Relatives through More and Earlier information Supply (HERMES) randomized controlled trial.,2020,3
31177183,"Combined GLP-1, Oxyntomodulin, and Peptide YY Improves Body Weight and Glycemia in Obesity and Prediabetes/Type 2 Diabetes: A Randomized, Single-Blinded, Placebo-Controlled Study.",2019,3
31176205,Postoperative adjuvant IMRT for patients with HCC and portal vein tumor thrombus: An open-label randomized controlled trial.,2019,3
31175874,Prophylactic endoscopic coagulation to prevent delayed post-EMR bleeding in the colorectum: a prospective randomized controlled trial (with videos).,2019,3
31175807,"Low-Fat Dietary Pattern among Postmenopausal Women Influences Long-Term Cancer, Cardiovascular Disease, and Diabetes Outcomes.",2019,3
31175806,Colonic mucosal and exfoliome transcriptomic profiling and fecal microbiome response to a flaxseed lignan extract intervention in humans.,2019,3
31175096,Health-Related Quality of Life Impact from Adding Bevacizumab to Cisplatin-Pemetrexed in Malignant Pleural Mesothelioma in the MAPS IFCT-GFPC-0701 Phase III Trial.,2019,3
31175052,Personalized Decision Making in Early Stage Breast Cancer: Applying Clinical Prediction Models for Anthracycline Cardiotoxicity and Breast Cancer Mortality Demonstrates Substantial Heterogeneity of Benefit-Harm Trade-off.,2019,3
31175001,"Quizartinib versus salvage chemotherapy in relapsed or refractory FLT3-ITD acute myeloid leukaemia (QuANTUM-R): a multicentre, randomised, controlled, open-label, phase 3 trial.",2019,3
31174993,"Adjunctive liraglutide treatment in patients with persistent or recurrent type 2 diabetes after metabolic surgery (GRAVITAS): a randomised, double-blind, placebo-controlled trial.",2019,3
31174535,Online yoga in myeloproliferative neoplasm patients: results of a randomized pilot trial to inform future research.,2019,3
31174236,"Randomized trial of ofatumumab and bendamustine versus ofatumumab, bendamustine, and bortezomib in previously untreated patients with high-risk follicular lymphoma: CALGB 50904 (Alliance).",2019,3
31174224,Endocuff-assisted colonoscopy for surveillance of serrated polyposis syndrome: a multicenter randomized controlled trial.,2019,3
31174172,Variability in triage practices for critically ill cancer patients: A randomized controlled trial.,2019,3
31173645,"Effects of CYP3A inhibitors on the pharmacokinetics of quizartinib, a potent and selective FLT3 inhibitor, and its active metabolite.",2019,3
31173551,Niraparib Maintenance Therapy in Patients With Recurrent Ovarian Cancer After a Partial Response to the Last Platinum-Based Chemotherapy in the ENGOT-OV16/NOVA Trial.,2019,3
31173362,"Overall survival and histology-specific subgroup analyses from a phase 3, randomized controlled study of trabectedin or dacarbazine in patients with advanced liposarcoma or leiomyosarcoma.",2019,3
31173341,Effects of exercise dose and type during breast cancer chemotherapy on longer-term patient-reported outcomes and health-related fitness: A randomized controlled trial.,2020,3
31172407,Iniparib administered weekly or twice-weekly in combination with gemcitabine/carboplatin in patients with metastatic triple-negative breast cancer: a phase II randomized open-label study with pharmacokinetics.,2019,3
31171878,"Dabrafenib, trametinib and pembrolizumab or placebo in BRAF-mutant melanoma.",2019,3
31171508,Evaluation of event-free survival as a robust end point in untreated acute myeloid leukemia (Alliance A151614).,2019,3
31171419,"Bortezomib, thalidomide, and dexamethasone with or without daratumumab before and after autologous stem-cell transplantation for newly diagnosed multiple myeloma (CASSIOPEIA): a randomised, open-label, phase 3 study.",2019,3
31171092,Randomized Trial of Lisinopril Versus??Carvedilol to Prevent Trastuzumab??Cardiotoxicity in Patients??With Breast??Cancer.,2019,3
31171039,Final analyses of OPTiM: a randomized phase III trial of talimogene laherparepvec versus granulocyte-macrophage colony-stimulating factor in unresectable stage III-IV melanoma.,2019,3
31168688,What are the difficulties in conducting randomised controlled trials of thromboprophylaxis in myeloma patients and how can we address these? Lessons from apixaban versus LMWH or aspirin as thromboprophylaxis in newly diagnosed multiple myeloma (TiMM) feasibility clinical trial.,2019,3
31817328,Effect of a School-Based Anxiety Prevention Program among Primary School Children.,2019,3
31815647,Fecal microbiome as determinant of the effect of diet on colorectal cancer risk: comparison of meat-based versus pesco-vegetarian diets (the MeaTIc study).,2019,3
31815582,"Randomized, Phase II Study Prospectively Evaluating Treatment of Metastatic Esophageal, Gastric, or Gastroesophageal Cancer by Gene Expression of ",2020,3
31814152,Recapturing disease response: A phase 2 study of carfilzomib 56?€?mg/m,2020,3
31813636,"Long-term primary results of accelerated partial breast irradiation after breast-conserving surgery for early-stage breast cancer: a randomised, phase 3, equivalence trial.",2019,3
31813635,External beam accelerated partial breast irradiation versus whole breast irradiation after breast conserving surgery in women with ductal carcinoma in situ and node-negative breast cancer (RAPID): a randomised controlled trial.,2019,3
31813295,Fusion imaging techniques and contrast-enhanced ultrasound for thermal ablation of hepatocellular carcinoma - A prospective randomized controlled trial.,2019,3
31812934,The effect of early and systematic integration of palliative care in oncology on quality of life and health care use near the end of life: A randomised controlled trial.,2020,3
31812686,Convergent-Divergent Validity and Correlates of the Day-to-Day Impact of Vaginal Aging Domain Scales in the MsFLASH Vaginal Health Trial.,2020,3
31166680,Five-Year Outcomes with Dabrafenib plus Trametinib in Metastatic Melanoma.,2019,3
31166679,Overall Survival with Ribociclib plus Endocrine Therapy in Breast Cancer.,2019,3
